epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5289,2.46389,3.01535,1.90417,0.00788,0.14288,0.01515,0.00347,3.33468,3.83949,3.31785,0.0874,0.0014,0.0014
2,31.3308,2.2384,2.16419,1.76195,0.50734,0.08261,0.00424,0.00109,3.93388,5.36306,6.98591,0.0738043,0.0028043,0.0028043
3,43.9693,2.26568,2.02901,1.76336,0.00498,0.00447,0.00245,0.00049,4.54806,inf,17.9002,0.0601096,0.0041096,0.0041096
4,55.6713,2.18735,1.93966,1.75282,0.00211,0.00293,0.0028,0.00089,3.73672,5.62882,4.11132,0.0463159,0.0053159,0.0053159
5,67.0016,2.13181,1.78124,1.68664,0.12269,0.1142,0.05602,0.01696,3.01645,4.32584,2.97342,0.0324232,0.0064232,0.0064232
6,78.8099,2.0481,1.73077,1.65713,0.14671,0.09744,0.04746,0.0176,2.86191,13.5506,3.1341,0.0184315,0.0074315,0.0074315
7,90.4599,1.99706,1.65412,1.60306,0.02636,0.07923,0.01563,0.0068,2.90019,inf,3.32388,0.00802,0.00802,0.00802
8,103.019,2.03201,1.66426,1.63021,0.15879,0.14584,0.08551,0.02919,2.51326,7.25781,2.16428,0.00769,0.00769,0.00769
9,114.266,2.02943,1.63698,1.61191,0.30003,0.25487,0.17726,0.07423,2.1771,6.76448,1.97161,0.00736,0.00736,0.00736
10,125.441,1.91381,1.558,1.55707,0.34845,0.27031,0.23318,0.09454,2.35541,5.78003,2.15523,0.00703,0.00703,0.00703
11,135.897,1.88346,1.52246,1.54199,0.45095,0.39338,0.37379,0.16776,2.0059,3.68111,1.77932,0.0067,0.0067,0.0067
12,146.464,1.85504,1.48239,1.51489,0.5308,0.4274,0.44731,0.21506,1.81973,3.15508,1.63396,0.00637,0.00637,0.00637
13,156.789,1.84198,1.46884,1.53131,0.5626,0.46052,0.48864,0.22502,1.91123,1.97126,1.6918,0.00604,0.00604,0.00604
14,168.428,1.85512,1.48894,1.5433,0.57483,0.4361,0.47699,0.22031,1.91826,2.19946,1.67198,0.00571,0.00571,0.00571
15,178.072,1.80278,1.43532,1.49679,0.59149,0.48987,0.52203,0.24586,1.72601,1.9784,1.52461,0.00538,0.00538,0.00538
16,188.286,1.74195,1.38194,1.45748,0.67552,0.49691,0.56905,0.30703,1.64066,1.49508,1.44267,0.00505,0.00505,0.00505
17,197.532,1.7355,1.36774,1.43604,0.66048,0.51778,0.57335,0.31691,1.59832,1.3801,1.3975,0.00472,0.00472,0.00472
18,208.008,1.71356,1.32586,1.39841,0.66823,0.5461,0.61048,0.33423,1.56613,1.43722,1.41695,0.00439,0.00439,0.00439
19,218.041,1.69266,1.31408,1.39639,0.66252,0.51465,0.58389,0.32062,1.66015,1.24277,1.42049,0.00406,0.00406,0.00406
20,228.268,1.7003,1.32083,1.40589,0.69864,0.50913,0.58304,0.32475,1.65377,1.19494,1.39352,0.00373,0.00373,0.00373
21,318.873,1.67503,1.35675,1.44411,0.68945,0.51677,0.58051,0.30935,1.72615,1.23852,1.43859,0.0034,0.0034,0.0034
22,328.399,1.63534,1.30323,1.39297,0.70342,0.56139,0.6375,0.37336,1.47933,1.23484,1.32933,0.00307,0.00307,0.00307
23,337.805,1.59409,1.26686,1.39348,0.67143,0.54274,0.60887,0.36435,1.44994,1.20153,1.31396,0.00274,0.00274,0.00274
24,346.853,1.51936,1.21393,1.34315,0.70789,0.57946,0.65555,0.40633,1.35814,1.12392,1.25382,0.00241,0.00241,0.00241
25,355.994,1.53615,1.23097,1.37257,0.72602,0.59677,0.67406,0.41069,1.37628,1.13331,1.2697,0.00208,0.00208,0.00208
26,364.999,1.52153,1.19276,1.34295,0.73139,0.59676,0.67762,0.42562,1.33555,1.07761,1.25148,0.00175,0.00175,0.00175
27,373.604,1.50416,1.14986,1.32999,0.7471,0.58768,0.67867,0.42598,1.32826,1.06004,1.23885,0.00142,0.00142,0.00142
28,383.551,1.46971,1.13215,1.29846,0.74558,0.60167,0.69038,0.44054,1.2938,1.01496,1.21846,0.00109,0.00109,0.00109
29,392.644,1.47063,1.15107,1.30695,0.74618,0.60949,0.69715,0.44585,1.27813,0.9966,1.20999,0.00076,0.00076,0.00076
30,401.473,1.44253,1.12767,1.3031,0.75279,0.61991,0.70861,0.45701,1.24786,0.97803,1.19458,0.00043,0.00043,0.00043
