epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6269,1.0046,0.70804,1.02176,0.74729,0.51829,0.64305,0.3849,1.54571,1.74592,1.36872,0.0874,0.0014,0.0014
2,31.6376,1.02897,0.70905,1.04933,0.80703,0.68004,0.78075,0.49731,1.22575,0.89471,1.17603,0.0738713,0.00287129,0.00287129
3,40.7208,1.04051,0.71677,1.03767,0.8241,0.70657,0.81565,0.56548,1.06261,0.74605,1.07885,0.0603129,0.00431288,0.00431288
4,51.7833,1.07346,0.73753,1.06605,0.8044,0.69084,0.79169,0.53756,1.09105,0.79561,1.10025,0.0467248,0.00572477,0.00572477
5,62.4917,1.07141,0.7324,1.05664,0.79837,0.71395,0.79426,0.52273,1.16392,0.77524,1.12741,0.033107,0.00710696,0.00710696
6,74.9654,1.08283,0.75006,1.07359,0.81308,0.69106,0.79153,0.54092,1.08451,0.7707,1.10139,0.0194595,0.00845945,0.00845945
7,82.3684,1.12101,0.7596,1.08478,0.7988,0.69385,0.78376,0.52835,1.10431,0.80151,1.12178,0.009406,0.009406,0.009406
8,89.8369,1.14882,0.79724,1.10875,0.79998,0.71701,0.78749,0.53363,1.10626,0.76107,1.10229,0.009307,0.009307,0.009307
9,96.9311,1.1779,0.7956,1.11158,0.77505,0.69411,0.77333,0.54868,1.05179,0.76301,1.07686,0.009208,0.009208,0.009208
10,103.827,1.13474,0.76208,1.09393,0.80237,0.69428,0.79612,0.54167,1.10297,0.7432,1.09506,0.009109,0.009109,0.009109
11,110.876,1.15394,0.77917,1.11877,0.78813,0.71445,0.80096,0.55655,1.0432,0.73745,1.06207,0.00901,0.00901,0.00901
12,118.552,1.11396,0.76582,1.08354,0.7753,0.71346,0.77712,0.52642,1.10116,0.84308,1.0921,0.008911,0.008911,0.008911
13,125.632,1.14861,0.77821,1.11137,0.7744,0.72297,0.79231,0.52746,1.13417,0.80739,1.09763,0.008812,0.008812,0.008812
14,132.886,1.16213,0.79949,1.11803,0.7827,0.73585,0.80091,0.55021,1.06838,0.78931,1.08389,0.008713,0.008713,0.008713
15,140.356,1.15816,0.7842,1.11122,0.79628,0.72145,0.79582,0.54406,1.07212,0.8545,1.0882,0.008614,0.008614,0.008614
16,147.754,1.13808,0.77339,1.10009,0.79956,0.68171,0.78478,0.53175,1.115,0.80001,1.11529,0.008515,0.008515,0.008515
17,155.216,1.16838,0.7825,1.10632,0.81372,0.7169,0.81112,0.55369,1.07638,0.77607,1.08262,0.008416,0.008416,0.008416
18,162.226,1.16612,0.78452,1.09129,0.79811,0.71804,0.80151,0.52532,1.18831,0.83182,1.13549,0.008317,0.008317,0.008317
19,170.163,1.19873,0.79113,1.11506,0.82153,0.69391,0.79867,0.54841,1.09683,0.74364,1.09917,0.008218,0.008218,0.008218
20,177.55,1.16993,0.78827,1.11414,0.80149,0.66469,0.77469,0.49787,1.22072,0.8703,1.15424,0.008119,0.008119,0.008119
21,185.293,1.14627,0.78643,1.10085,0.80039,0.64903,0.76282,0.50057,1.19592,0.85449,1.13413,0.00802,0.00802,0.00802
22,194.112,1.11553,0.76471,1.08185,0.82139,0.70723,0.79774,0.5271,1.15655,0.77302,1.09579,0.007921,0.007921,0.007921
23,201.703,1.11969,0.77602,1.09591,0.81716,0.69633,0.80106,0.57876,0.97265,0.73033,1.02332,0.007822,0.007822,0.007822
24,209.521,1.12682,0.77708,1.09558,0.81273,0.714,0.81273,0.56517,1.0318,0.7315,1.05182,0.007723,0.007723,0.007723
25,217.784,1.09799,0.74425,1.06839,0.82242,0.68951,0.80041,0.52382,1.15654,0.76922,1.10393,0.007624,0.007624,0.007624
26,226.805,1.12335,0.78059,1.09353,0.81886,0.6968,0.79424,0.53983,1.11873,0.75695,1.10236,0.007525,0.007525,0.007525
27,234.52,1.09783,0.75018,1.08099,0.81638,0.70517,0.80845,0.5776,0.97967,0.73847,1.04572,0.007426,0.007426,0.007426
28,242.197,1.07168,0.74363,1.06477,0.82402,0.7398,0.83192,0.58561,1.00535,0.70067,1.05188,0.007327,0.007327,0.007327
29,250.021,1.07339,0.71545,1.06382,0.8292,0.75604,0.8444,0.59387,1.02205,0.66117,1.04803,0.007228,0.007228,0.007228
30,257.393,1.12218,0.76802,1.0853,0.8374,0.75129,0.85159,0.60342,0.97185,0.65622,1.02326,0.007129,0.007129,0.007129
31,265.495,1.0979,0.75278,1.07527,0.83163,0.71949,0.82771,0.5773,1.02004,0.71152,1.05357,0.00703,0.00703,0.00703
