epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1677,1.21173,0.89011,1.12455,0.75005,0.627,0.70263,0.42776,1.38868,1.13679,1.24532,0.0874,0.0014,0.0014
2,69.0124,1.29782,0.9105,1.19083,0.73787,0.61174,0.70084,0.44231,1.30754,0.9013,1.1978,0.0738426,0.00284258,0.00284258
3,77.6888,1.31478,0.94039,1.16999,0.68808,0.58557,0.66138,0.40199,1.42556,1.10356,1.26002,0.0602258,0.00422576,0.00422576
4,85.4553,1.33999,0.96379,1.20328,0.7516,0.64443,0.72627,0.45761,1.24524,0.91799,1.18189,0.0465495,0.00554954,0.00554954
5,92.3907,1.35556,0.9332,1.20375,0.61581,0.61412,0.60132,0.36297,1.19902,1.02621,1.16887,0.0328139,0.00681392,0.00681392
6,99.6581,1.3582,0.95702,1.21656,0.72517,0.59984,0.6818,0.42802,1.29652,1.12893,1.24083,0.0190189,0.0080189,0.0080189
7,106.714,1.36181,0.95144,1.20128,0.69439,0.63304,0.68229,0.38821,1.39444,1.2158,1.28145,0.008812,0.008812,0.008812
8,115.156,1.40442,0.98638,1.23691,0.71018,0.59504,0.6621,0.39484,1.41339,1.07715,1.29366,0.008614,0.008614,0.008614
9,122.339,1.38767,0.99522,1.21917,0.75291,0.64607,0.72421,0.45821,1.29221,0.96192,1.21085,0.008416,0.008416,0.008416
10,130.172,1.36197,0.95474,1.21631,0.7414,0.61728,0.68895,0.4413,1.27541,0.99509,1.21074,0.008218,0.008218,0.008218
11,137.984,1.37781,0.97689,1.24277,0.72538,0.61318,0.69583,0.43876,1.28529,0.94438,1.19033,0.00802,0.00802,0.00802
12,148.149,1.30581,0.93771,1.18166,0.74805,0.64399,0.72535,0.4737,1.21766,0.8887,1.16199,0.007822,0.007822,0.007822
13,171.531,1.33035,0.93797,1.20751,0.76144,0.65767,0.7319,0.48826,1.18013,0.86275,1.14233,0.007624,0.007624,0.007624
14,179.629,1.34917,0.96663,1.21712,0.72701,0.61628,0.68549,0.41701,1.35926,0.92197,1.21883,0.007426,0.007426,0.007426
15,186.41,1.34748,0.94334,1.21558,0.77631,0.60693,0.70557,0.45701,1.25515,0.90796,1.20424,0.007228,0.007228,0.007228
16,193.086,1.27956,0.92242,1.18177,0.76369,0.65163,0.73075,0.46398,1.23491,0.90057,1.18498,0.00703,0.00703,0.00703
17,200.736,1.27685,0.91613,1.16838,0.77159,0.66089,0.74928,0.4998,1.16564,0.84845,1.14731,0.006832,0.006832,0.006832
18,208.003,1.28517,0.92835,1.16686,0.78274,0.65337,0.7411,0.48466,1.21082,0.95361,1.17811,0.006634,0.006634,0.006634
19,215.084,1.29451,0.92079,1.17848,0.76417,0.66047,0.738,0.46238,1.33001,0.89734,1.2505,0.006436,0.006436,0.006436
20,222.281,1.297,0.91265,1.17608,0.76985,0.67654,0.75777,0.49596,1.18279,0.82812,1.14641,0.006238,0.006238,0.006238
21,230.453,1.30029,0.92098,1.18002,0.7822,0.66317,0.75784,0.50547,1.14469,0.82527,1.13242,0.00604,0.00604,0.00604
22,237.787,1.29686,0.91721,1.17816,0.78886,0.67849,0.7661,0.5095,1.16286,0.81221,1.13603,0.005842,0.005842,0.005842
23,245.103,1.28594,0.90348,1.17944,0.78691,0.68107,0.77681,0.51993,1.13798,0.82005,1.11275,0.005644,0.005644,0.005644
24,252.103,1.28666,0.90904,1.18227,0.77779,0.66501,0.75514,0.49854,1.14542,0.84636,1.13474,0.005446,0.005446,0.005446
