epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4174,1.13152,0.8313,1.0851,0.72558,0.57414,0.63941,0.3646,1.61382,1.18405,1.42741,0.0874,0.0014,0.0014
2,19.8408,1.17812,0.82876,1.12621,0.72533,0.59602,0.66946,0.37526,1.60434,1.11807,1.39973,0.0738426,0.00284258,0.00284258
3,30.9526,1.18487,0.8298,1.10441,0.7426,0.60943,0.69651,0.45886,1.2376,0.95745,1.17958,0.0602258,0.00422576,0.00422576
4,38.0255,1.21006,0.86276,1.14107,0.74592,0.66183,0.73105,0.47278,1.24334,0.91126,1.16738,0.0465495,0.00554954,0.00554954
5,45.2866,1.2603,0.86598,1.15248,0.7596,0.65815,0.74111,0.4694,1.26321,0.91991,1.20762,0.0328139,0.00681392,0.00681392
6,63.9705,1.2466,0.87732,1.16099,0.67357,0.54384,0.60576,0.34013,1.61573,1.26658,1.43897,0.0190189,0.0080189,0.0080189
7,76.7753,1.25511,0.86305,1.15283,0.66796,0.53595,0.60121,0.30647,1.78772,1.28248,1.5628,0.008812,0.008812,0.008812
8,85.3968,1.31976,0.91604,1.19347,0.74979,0.61904,0.69589,0.43002,1.3437,1.06967,1.24909,0.008614,0.008614,0.008614
9,94.1482,1.33851,0.93044,1.19331,0.75001,0.60279,0.69531,0.4305,1.3365,1.03853,1.24647,0.008416,0.008416,0.008416
10,101.085,1.31322,0.92219,1.18697,0.77964,0.66857,0.75229,0.47779,1.22969,0.91486,1.16604,0.008218,0.008218,0.008218
11,107.668,1.30814,0.90974,1.20106,0.7639,0.6457,0.73791,0.49169,1.17603,0.86979,1.14035,0.00802,0.00802,0.00802
12,114.29,1.26753,0.89058,1.15962,0.74739,0.65762,0.73401,0.46892,1.27811,0.8911,1.21251,0.007822,0.007822,0.007822
13,120.673,1.27134,0.87523,1.17539,0.74604,0.62631,0.71627,0.46827,1.23933,0.90929,1.17161,0.007624,0.007624,0.007624
14,127.128,1.26728,0.89712,1.17671,0.75671,0.65425,0.73143,0.48179,1.19778,0.87113,1.15134,0.007426,0.007426,0.007426
15,133.605,1.25908,0.88752,1.16604,0.77878,0.67158,0.75388,0.47562,1.27286,0.83251,1.17705,0.007228,0.007228,0.007228
16,140.062,1.2256,0.8797,1.14721,0.77253,0.65913,0.73946,0.48609,1.2211,0.87061,1.15787,0.00703,0.00703,0.00703
17,146.515,1.21982,0.86692,1.13818,0.75634,0.67098,0.73857,0.46163,1.26262,0.86823,1.1869,0.006832,0.006832,0.006832
18,153.096,1.23309,0.85874,1.13624,0.77775,0.70128,0.77443,0.52666,1.10912,0.81326,1.10303,0.006634,0.006634,0.006634
19,158.644,1.22368,0.87095,1.14048,0.7819,0.69731,0.78294,0.53405,1.11077,0.80202,1.10193,0.006436,0.006436,0.006436
20,167.17,1.22798,0.87038,1.14085,0.78248,0.65287,0.74744,0.49291,1.18202,0.8377,1.16153,0.006238,0.006238,0.006238
21,175.261,1.24415,0.88174,1.15551,0.77179,0.65941,0.75108,0.49439,1.16813,0.83381,1.14696,0.00604,0.00604,0.00604
22,181.848,1.21817,0.86455,1.13563,0.79548,0.69706,0.7846,0.52407,1.12552,0.78616,1.10604,0.005842,0.005842,0.005842
23,188.405,1.20628,0.85345,1.14312,0.81811,0.69173,0.79581,0.55095,1.05442,0.77815,1.0756,0.005644,0.005644,0.005644
24,195.193,1.20568,0.84742,1.13947,0.78451,0.66851,0.76387,0.50881,1.15365,0.82567,1.10828,0.005446,0.005446,0.005446
25,201.942,1.19537,0.82734,1.11615,0.79629,0.71567,0.78731,0.53155,1.09607,0.78265,1.09378,0.005248,0.005248,0.005248
26,209.069,1.21879,0.85675,1.14112,0.80788,0.7105,0.79043,0.53577,1.13692,0.73696,1.11952,0.00505,0.00505,0.00505
27,216.226,1.19698,0.8219,1.12989,0.80159,0.69518,0.79044,0.55868,1.02329,0.74821,1.06901,0.004852,0.004852,0.004852
28,223.634,1.14077,0.81018,1.10592,0.79915,0.70573,0.79744,0.56045,1.02622,0.74717,1.0716,0.004654,0.004654,0.004654
29,230.666,1.1503,0.79489,1.1046,0.81445,0.7255,0.81698,0.5817,0.9837,0.709,1.04103,0.004456,0.004456,0.004456
30,237.516,1.19308,0.82841,1.11707,0.81567,0.71047,0.80994,0.57494,1.0032,0.71038,1.04683,0.004258,0.004258,0.004258
31,244.544,1.13846,0.80803,1.10245,0.81053,0.72227,0.81398,0.58182,0.98814,0.71145,1.04842,0.00406,0.00406,0.00406
32,251.794,1.16021,0.80636,1.10256,0.80746,0.71191,0.81404,0.57826,1.00666,0.73225,1.04879,0.003862,0.003862,0.003862
33,258.667,1.13066,0.77257,1.08676,0.8171,0.7169,0.81705,0.58049,1.00966,0.69064,1.04264,0.003664,0.003664,0.003664
34,265.674,1.14208,0.79545,1.09376,0.81659,0.73387,0.83134,0.604,0.93697,0.66276,1.0158,0.003466,0.003466,0.003466
35,272.73,1.12951,0.78959,1.10339,0.81169,0.7245,0.81946,0.59764,0.93351,0.67373,1.01655,0.003268,0.003268,0.003268
36,279.865,1.12486,0.79515,1.07765,0.82267,0.72854,0.82461,0.59452,0.95364,0.65734,1.02126,0.00307,0.00307,0.00307
37,286.748,1.09621,0.76658,1.08308,0.82593,0.73246,0.82735,0.60522,0.93021,0.65891,1.01014,0.002872,0.002872,0.002872
38,293.777,1.11648,0.76944,1.08333,0.82821,0.73163,0.83013,0.59273,0.98433,0.65742,1.02589,0.002674,0.002674,0.002674
39,300.638,1.1155,0.78344,1.08124,0.83468,0.7365,0.83512,0.60461,0.93939,0.64812,1.01628,0.002476,0.002476,0.002476
40,307.72,1.11261,0.77368,1.0869,0.83325,0.74642,0.84327,0.61532,0.92675,0.65026,1.0096,0.002278,0.002278,0.002278
41,405.919,1.10856,0.8107,1.11436,0.8269,0.73165,0.83053,0.59911,0.97719,0.67891,1.03644,0.00208,0.00208,0.00208
42,414.2,1.04276,0.76375,1.07643,0.82173,0.73597,0.82916,0.60583,0.94384,0.68166,1.02209,0.001882,0.001882,0.001882
43,421.231,1.01223,0.73194,1.06722,0.81769,0.74066,0.82867,0.6013,0.95343,0.65122,1.02661,0.001684,0.001684,0.001684
44,428.815,1.03617,0.74175,1.08764,0.82033,0.74035,0.83065,0.6033,0.94552,0.64197,1.01567,0.001486,0.001486,0.001486
