epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0417,0.99339,0.69301,1.01611,0.71169,0.5991,0.66141,0.41302,1.37452,1.48399,1.28231,0.0874,0.0014,0.0014
2,27.0338,1.03877,0.70868,1.0537,0.84772,0.73906,0.84339,0.58949,1.03418,0.67829,1.05243,0.0738713,0.00287129,0.00287129
3,38.5546,1.06868,0.71089,1.04691,0.82569,0.73472,0.83198,0.60124,0.95179,0.66934,1.01271,0.0603129,0.00431288,0.00431288
4,47.5033,1.07392,0.73183,1.06343,0.81192,0.71556,0.80839,0.55456,1.09494,0.7657,1.08659,0.0467248,0.00572477,0.00572477
5,55.0626,1.06801,0.73144,1.05972,0.82453,0.70923,0.80853,0.54633,1.0466,0.76727,1.08269,0.033107,0.00710696,0.00710696
6,63.8338,1.07039,0.73973,1.07082,0.8088,0.70411,0.80198,0.56319,1.02887,0.71416,1.0554,0.0194595,0.00845945,0.00845945
7,71.2598,1.08708,0.74544,1.06868,0.78009,0.61136,0.70948,0.4588,1.25452,0.99567,1.18194,0.009406,0.009406,0.009406
8,79.0319,1.1481,0.79577,1.11202,0.73011,0.60177,0.68112,0.41463,1.42794,1.05722,1.31887,0.009307,0.009307,0.009307
9,86.2721,1.15277,0.78854,1.09842,0.76807,0.65685,0.74037,0.45831,1.36412,1.07459,1.24616,0.009208,0.009208,0.009208
10,93.5459,1.12348,0.76208,1.08475,0.80379,0.68767,0.78165,0.50743,1.19094,0.82328,1.11627,0.009109,0.009109,0.009109
11,100.939,1.15755,0.77948,1.11916,0.81166,0.69618,0.79363,0.53614,1.09568,0.77943,1.08585,0.00901,0.00901,0.00901
12,107.997,1.10931,0.77341,1.08462,0.78364,0.70931,0.78809,0.52903,1.12,0.84249,1.11589,0.008911,0.008911,0.008911
13,115.192,1.13301,0.77418,1.10549,0.76274,0.64939,0.74368,0.46398,1.27443,0.91983,1.19917,0.008812,0.008812,0.008812
14,122.386,1.11733,0.77349,1.10388,0.81534,0.6858,0.78419,0.53385,1.10509,0.75531,1.09749,0.008713,0.008713,0.008713
15,129.845,1.11801,0.76596,1.09581,0.79559,0.6924,0.78492,0.53261,1.12236,0.75471,1.09656,0.008614,0.008614,0.008614
16,136.974,1.11282,0.76691,1.08305,0.82046,0.71637,0.8102,0.55986,1.09073,0.71521,1.08717,0.008515,0.008515,0.008515
17,144.267,1.12335,0.76747,1.08786,0.8221,0.71673,0.80963,0.5439,1.11439,0.72565,1.10137,0.008416,0.008416,0.008416
18,151.515,1.13462,0.77428,1.08701,0.81848,0.71962,0.81279,0.56411,1.04667,0.73444,1.08253,0.008317,0.008317,0.008317
19,158.841,1.13504,0.77334,1.09787,0.80144,0.68397,0.78791,0.5374,1.07898,0.78567,1.09734,0.008218,0.008218,0.008218
20,165.75,1.15533,0.79369,1.10712,0.79741,0.68227,0.78493,0.52597,1.13628,0.79794,1.11672,0.008119,0.008119,0.008119
21,173.079,1.12242,0.77598,1.08929,0.79324,0.6902,0.78958,0.5403,1.07864,0.81375,1.08274,0.00802,0.00802,0.00802
