epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2749,1.48786,1.14091,1.26846,0.64283,0.49017,0.5367,0.25821,1.84379,4.03249,1.54544,0.0874,0.0014,0.0014
2,44.9377,1.55223,1.15351,1.33243,0.66027,0.50666,0.56403,0.2835,1.76782,1.6064,1.48753,0.0738713,0.00287129,0.00287129
3,53.5615,1.56418,1.16529,1.31652,0.69766,0.55386,0.61628,0.3589,1.47038,1.86183,1.36489,0.0603129,0.00431288,0.00431288
4,63.2747,1.5855,1.16926,1.35843,0.71072,0.56479,0.6337,0.37003,1.47487,1.30361,1.34721,0.0467248,0.00572477,0.00572477
5,73.7282,1.59308,1.15549,1.3417,0.62134,0.51206,0.56054,0.28232,1.7411,1.64441,1.55812,0.033107,0.00710696,0.00710696
6,82.4724,1.57433,1.18078,1.35129,0.6308,0.48689,0.54275,0.29923,1.64,1.59836,1.47701,0.0194595,0.00845945,0.00845945
7,90.7303,1.61995,1.18166,1.35835,0.70512,0.50485,0.58781,0.31928,1.59038,1.51311,1.43647,0.009406,0.009406,0.009406
8,99.2504,1.67355,1.21648,1.40851,0.56787,0.32169,0.33869,0.15163,2.13292,2.552,1.94299,0.009307,0.009307,0.009307
9,106.647,1.67074,1.22445,1.38473,0.58699,0.36899,0.38803,0.18179,2.00009,2.05005,1.77148,0.009208,0.009208,0.009208
10,114.552,1.61558,1.20758,1.36813,0.63067,0.43766,0.48804,0.25283,1.76435,1.62691,1.56708,0.009109,0.009109,0.009109
11,122.018,1.64628,1.20615,1.40474,0.56557,0.41744,0.45222,0.22622,1.85902,1.55569,1.60432,0.00901,0.00901,0.00901
12,129.65,1.57277,1.16528,1.3455,0.61241,0.49307,0.5358,0.27765,1.71167,1.41081,1.50068,0.008911,0.008911,0.008911
13,136.99,1.57766,1.14434,1.34592,0.66231,0.52811,0.58699,0.31465,1.68314,1.27274,1.41614,0.008812,0.008812,0.008812
14,144.64,1.56907,1.17703,1.35601,0.62136,0.50143,0.55469,0.30185,1.67367,1.33739,1.47314,0.008713,0.008713,0.008713
15,151.837,1.58501,1.15553,1.35075,0.61987,0.47117,0.51376,0.25131,1.86482,1.45285,1.62793,0.008614,0.008614,0.008614
16,159.744,1.50846,1.12221,1.31788,0.69554,0.56591,0.62958,0.34014,1.62079,1.24488,1.44778,0.008515,0.008515,0.008515
17,167.117,1.50567,1.10691,1.3079,0.70976,0.5886,0.65855,0.37838,1.4963,1.16548,1.37265,0.008416,0.008416,0.008416
18,176.305,1.52075,1.10679,1.30154,0.74841,0.59119,0.6806,0.41246,1.36801,1.14944,1.27934,0.008317,0.008317,0.008317
19,183.659,1.52096,1.10352,1.31629,0.73775,0.61721,0.69354,0.42323,1.36092,1.04415,1.2572,0.008218,0.008218,0.008218
