epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7982,1.03995,0.74729,1.03903,0.7384,0.65415,0.72133,0.50207,1.08956,1.15573,1.08906,0.0874,0.0014,0.0014
2,18.9367,1.085,0.7528,1.07477,0.81801,0.71211,0.81137,0.5402,1.15177,0.76144,1.10234,0.0738617,0.00286172,0.00286172
3,26.7467,1.09723,0.76488,1.06635,0.79472,0.69434,0.78394,0.54618,1.05658,0.76825,1.07861,0.0602838,0.00428384,0.00428384
4,34.6592,1.12206,0.78357,1.09104,0.78609,0.66926,0.7664,0.5161,1.09969,0.81126,1.10657,0.0466664,0.00566636,0.00566636
5,42.509,1.16234,0.78762,1.09885,0.81389,0.6726,0.7843,0.52567,1.0972,0.81269,1.09773,0.0330093,0.00700928,0.00700928
6,50.7781,1.16563,0.80794,1.1159,0.80528,0.69005,0.78841,0.52913,1.14019,0.79919,1.12513,0.0193126,0.0083126,0.0083126
7,58.6594,1.17027,0.79585,1.10563,0.76265,0.65023,0.73911,0.45742,1.29869,0.99091,1.22031,0.009208,0.009208,0.009208
8,65.8548,1.23861,0.84492,1.15237,0.76721,0.65032,0.74219,0.47676,1.25641,0.98089,1.18497,0.009076,0.009076,0.009076
9,73.3289,1.25058,0.85814,1.14027,0.72064,0.62338,0.69399,0.44001,1.30911,0.9848,1.24109,0.008944,0.008944,0.008944
10,80.2823,1.19716,0.82233,1.12488,0.78905,0.67348,0.76893,0.51951,1.12637,0.8044,1.12463,0.008812,0.008812,0.008812
11,87.4953,1.22473,0.84094,1.15272,0.80228,0.67786,0.78,0.52499,1.14954,0.77262,1.13113,0.00868,0.00868,0.00868
12,94.6876,1.16521,0.816,1.11077,0.78543,0.69979,0.77303,0.52522,1.09337,0.7911,1.09221,0.008548,0.008548,0.008548
13,102.726,1.19195,0.82292,1.13184,0.78827,0.64041,0.74986,0.51463,1.10567,0.88248,1.09473,0.008416,0.008416,0.008416
14,109.792,1.16711,0.82804,1.12993,0.77173,0.67696,0.76696,0.5235,1.09848,0.81952,1.10001,0.008284,0.008284,0.008284
15,116.972,1.17437,0.81926,1.12554,0.81818,0.70038,0.80076,0.54876,1.09613,0.74469,1.10326,0.008152,0.008152,0.008152
16,124.522,1.14078,0.8046,1.10406,0.81423,0.69971,0.79034,0.54937,1.08572,0.75906,1.08875,0.00802,0.00802,0.00802
17,131.816,1.15368,0.80969,1.10548,0.79644,0.72083,0.79939,0.55244,1.06149,0.76306,1.07487,0.007888,0.007888,0.007888
18,139.038,1.16466,0.80584,1.10075,0.81507,0.70944,0.80637,0.57465,1.01591,0.74907,1.0522,0.007756,0.007756,0.007756
19,146.296,1.15831,0.80357,1.10453,0.81484,0.71091,0.8083,0.55885,1.07501,0.73713,1.07443,0.007624,0.007624,0.007624
20,153.349,1.175,0.81924,1.11614,0.81099,0.70163,0.8044,0.54408,1.11012,0.77138,1.10903,0.007492,0.007492,0.007492
21,160.536,1.1845,0.82522,1.12026,0.81707,0.68253,0.79512,0.54713,1.08563,0.76966,1.09084,0.00736,0.00736,0.00736
22,167.581,1.16523,0.80733,1.10664,0.81456,0.71099,0.80941,0.55952,1.05802,0.73024,1.0642,0.007228,0.007228,0.007228
23,174.745,1.14885,0.79942,1.10983,0.81417,0.69467,0.79847,0.55839,1.05511,0.73144,1.07393,0.007096,0.007096,0.007096
24,182.055,1.15812,0.81026,1.11413,0.79745,0.73387,0.80601,0.55719,1.04726,0.78164,1.07641,0.006964,0.006964,0.006964
25,188.983,1.13676,0.78027,1.09,0.7922,0.72375,0.80864,0.57598,1.00573,0.74559,1.05239,0.006832,0.006832,0.006832
26,196.028,1.16821,0.81709,1.11292,0.81048,0.72458,0.81837,0.55645,1.08915,0.71701,1.07194,0.0067,0.0067,0.0067
27,203.193,1.14826,0.78242,1.10333,0.80828,0.70254,0.79981,0.55863,1.02904,0.75603,1.06541,0.006568,0.006568,0.006568
28,210.532,1.10288,0.77143,1.08755,0.81499,0.72091,0.81185,0.57106,1.02485,0.72171,1.05572,0.006436,0.006436,0.006436
29,217.662,1.09367,0.74771,1.07472,0.81899,0.73416,0.82208,0.58648,0.97617,0.74197,1.03137,0.006304,0.006304,0.006304
30,224.94,1.14712,0.79934,1.09183,0.81809,0.72759,0.81953,0.58611,0.98217,0.71203,1.03522,0.006172,0.006172,0.006172
31,232.076,1.12859,0.77898,1.093,0.81732,0.72258,0.81538,0.57451,1.01463,0.7002,1.05782,0.00604,0.00604,0.00604
32,239.198,1.14337,0.77758,1.09208,0.83061,0.71398,0.82184,0.57713,1.02527,0.68909,1.06199,0.005908,0.005908,0.005908
33,246.666,1.11011,0.75467,1.08076,0.82513,0.74022,0.83436,0.60552,0.95705,0.65481,1.02843,0.005776,0.005776,0.005776
34,253.78,1.10384,0.76118,1.07901,0.82087,0.73266,0.82666,0.59645,0.95951,0.66721,1.02103,0.005644,0.005644,0.005644
35,260.808,1.106,0.76851,1.09562,0.82003,0.74319,0.83505,0.60283,0.9683,0.6553,1.02835,0.005512,0.005512,0.005512
36,268.061,1.11378,0.76919,1.06971,0.82847,0.72679,0.82421,0.58156,0.99671,0.69054,1.04197,0.00538,0.00538,0.00538
37,275.044,1.08924,0.75163,1.07966,0.82886,0.72716,0.82442,0.59414,0.95462,0.67115,1.02271,0.005248,0.005248,0.005248
38,282.08,1.09688,0.75386,1.07667,0.83185,0.7366,0.83577,0.60261,0.94671,0.66216,1.01957,0.005116,0.005116,0.005116
39,289.262,1.0774,0.76112,1.06491,0.82848,0.75885,0.84943,0.62556,0.91138,0.6455,0.99702,0.004984,0.004984,0.004984
40,296.408,1.09286,0.74997,1.07286,0.83184,0.73589,0.83706,0.60434,0.95851,0.64891,1.00305,0.004852,0.004852,0.004852
41,303.366,1.10321,0.75248,1.07871,0.84322,0.73813,0.84418,0.61027,0.94101,0.65207,1.00471,0.00472,0.00472,0.00472
42,310.782,1.06456,0.73917,1.06127,0.83407,0.74912,0.84528,0.61583,0.93295,0.64461,1.00758,0.004588,0.004588,0.004588
43,317.761,1.08251,0.75275,1.07321,0.84432,0.73476,0.84409,0.63066,0.88434,0.62599,0.9892,0.004456,0.004456,0.004456
44,324.833,1.06841,0.73253,1.06926,0.83423,0.72953,0.83461,0.61726,0.91981,0.64418,1.00126,0.004324,0.004324,0.004324
45,331.932,1.07015,0.74143,1.07646,0.83798,0.76234,0.85436,0.62746,0.90487,0.62312,0.99213,0.004192,0.004192,0.004192
46,339.071,1.07691,0.74218,1.07244,0.8279,0.7437,0.83727,0.60644,0.94117,0.63751,1.00151,0.00406,0.00406,0.00406
47,346.216,1.07475,0.73969,1.06078,0.85067,0.76471,0.85765,0.62518,0.92281,0.6098,0.99672,0.003928,0.003928,0.003928
48,353.4,1.06155,0.73468,1.06968,0.84162,0.772,0.85955,0.63802,0.87294,0.59694,0.98144,0.003796,0.003796,0.003796
49,360.808,1.0331,0.72142,1.04966,0.84506,0.77345,0.8631,0.64377,0.84783,0.61253,0.97565,0.003664,0.003664,0.003664
50,367.752,1.05305,0.72561,1.05563,0.84794,0.75204,0.85404,0.63466,0.87313,0.61015,0.98496,0.003532,0.003532,0.003532
51,374.931,1.04113,0.71227,1.04757,0.85054,0.76555,0.86218,0.64665,0.85418,0.59049,0.97136,0.0034,0.0034,0.0034
52,382.368,1.05116,0.72582,1.05351,0.84992,0.76299,0.8634,0.64778,0.85258,0.58216,0.9695,0.003268,0.003268,0.003268
53,389.704,1.04349,0.72737,1.05262,0.85497,0.76702,0.86443,0.65377,0.83944,0.5822,0.97034,0.003136,0.003136,0.003136
54,397.102,1.02349,0.71896,1.04766,0.8489,0.76,0.86111,0.64999,0.84675,0.57739,0.9709,0.003004,0.003004,0.003004
55,404.071,1.02347,0.70746,1.04196,0.84663,0.76366,0.8636,0.65268,0.85112,0.58334,0.97345,0.002872,0.002872,0.002872
56,411.863,1.02745,0.71657,1.06475,0.8543,0.76338,0.86468,0.65491,0.84745,0.58014,0.96836,0.00274,0.00274,0.00274
57,419.497,1.01294,0.70157,1.04714,0.85895,0.75972,0.86515,0.66064,0.82235,0.57459,0.96062,0.002608,0.002608,0.002608
58,427.093,1.01575,0.69982,1.04123,0.85842,0.76268,0.86343,0.65229,0.85376,0.57793,0.96826,0.002476,0.002476,0.002476
